iter	Logloss
0	0.6398416566
1	0.5931839251
2	0.5627919429
3	0.5307188229
4	0.5087109693
5	0.4860797374
6	0.4644221825
7	0.4497185639
8	0.4350083119
9	0.4234959789
10	0.415274032
11	0.4068934546
12	0.3991217947
13	0.3926399373
14	0.3849338986
15	0.3789013407
16	0.3729962861
17	0.3692155505
18	0.3646452114
19	0.3614320307
20	0.3584517801
21	0.3554549338
22	0.353954206
23	0.35136863
24	0.3481390483
25	0.3455309288
26	0.343282668
27	0.3411685431
28	0.3392288513
29	0.3372492351
30	0.3358364942
31	0.3346162457
32	0.3331504424
33	0.3318613694
34	0.3306730965
35	0.3300214498
36	0.3290322044
37	0.3280682957
38	0.3274431302
39	0.3266084903
40	0.325565174
41	0.3243337393
42	0.3233820533
43	0.3227901219
44	0.3221415024
45	0.3214235342
46	0.3208661049
47	0.3203845696
48	0.3200742037
49	0.3189890457
50	0.3185195224
51	0.3175155853
52	0.3171172067
53	0.3162326287
54	0.3158573704
55	0.3155073665
56	0.3150974155
57	0.3147207795
58	0.3143347671
59	0.3139158455
60	0.3132178021
61	0.312661129
62	0.3120810031
63	0.3114136073
64	0.3109097661
65	0.3104107869
66	0.3098725825
67	0.3095941474
68	0.309178326
69	0.3086374177
70	0.3082174325
71	0.3079170865
72	0.3075282066
73	0.3071675504
74	0.3068265929
75	0.3065433699
76	0.3061909247
77	0.3059064811
78	0.305395839
79	0.3050762644
80	0.3046138532
81	0.3043158203
82	0.3038791303
83	0.3035808299
84	0.30330842
85	0.3030636469
86	0.302525171
87	0.3022042328
88	0.3019954867
89	0.3014355665
90	0.3010934593
91	0.300896202
92	0.3005591711
93	0.3000439267
94	0.2999030935
95	0.2994261881
96	0.2992340795
97	0.2989770359
98	0.2986702744
99	0.298316421
100	0.2979063891
101	0.2976093969
102	0.2973471174
103	0.2970532754
104	0.2967530856
105	0.2965680061
106	0.2964101358
107	0.2960472071
108	0.2958737456
109	0.2953183865
110	0.295062605
111	0.2945948382
112	0.2943348738
113	0.2943126618
114	0.2940408751
115	0.2938088006
116	0.293504731
117	0.2932530942
118	0.2928495727
119	0.2924235795
120	0.2920858162
121	0.2918836948
122	0.2915935523
123	0.2914400418
124	0.2910551291
125	0.2907761574
126	0.2906077504
127	0.2903597264
128	0.2900869402
129	0.2897622099
130	0.2893459503
131	0.2891474921
132	0.2888983016
133	0.2887043325
134	0.2884687284
135	0.2882976663
136	0.2880145519
137	0.2877450654
138	0.2874221566
139	0.2872217786
140	0.2870674855
141	0.2868117922
142	0.286635909
143	0.2863561951
144	0.2861130391
145	0.2857815262
146	0.2853963217
147	0.2850193479
148	0.2848171135
149	0.2844981686
150	0.2841741343
151	0.2838840922
152	0.283582359
153	0.2831797941
154	0.2829011682
155	0.2826708543
156	0.2823948343
157	0.2820784938
158	0.2818230553
159	0.2816624101
160	0.2814605111
161	0.2811199206
162	0.2807727885
163	0.28049638
164	0.2800744416
165	0.2799164628
166	0.2797082294
167	0.2795038202
168	0.2792803086
169	0.2790450167
170	0.2789159092
171	0.278654192
172	0.278380291
173	0.2780665165
174	0.2777274737
175	0.2773506813
176	0.2771508449
177	0.2769852375
178	0.2767003042
179	0.2766179062
180	0.2763335527
181	0.2760562351
182	0.2758631939
183	0.2757035054
184	0.2753747589
185	0.2750235319
186	0.2747151929
187	0.2744446779
188	0.2741999962
189	0.273908675
190	0.2735597276
191	0.2732964378
192	0.2730609263
193	0.2727682707
194	0.2724749891
195	0.2721681421
196	0.271859056
197	0.2715770428
198	0.2712815313
199	0.2710116124
200	0.2707630204
201	0.2703948692
202	0.2701702519
203	0.2698383069
204	0.2697291473
205	0.2694551002
206	0.2691921438
207	0.2690798537
208	0.2688271987
209	0.2685979309
210	0.2683849685
211	0.2681964851
212	0.2679698743
213	0.2676856489
214	0.2673679742
215	0.2671313294
216	0.266920748
217	0.2666558318
218	0.2664436931
219	0.2662434308
220	0.2661573383
221	0.2660475496
222	0.2658940938
223	0.2656427937
224	0.2654846203
225	0.2653029519
226	0.265040918
227	0.2648898008
228	0.2645907709
229	0.2643002341
230	0.2641160286
231	0.2637593986
232	0.2634837827
233	0.2632482669
234	0.2630345288
235	0.2627958624
236	0.2626118875
237	0.2623817253
238	0.2622795017
239	0.2620683111
240	0.2617328434
241	0.2614844543
242	0.2610516847
243	0.2608689274
244	0.2605762435
245	0.2604120344
246	0.2602404958
247	0.2600413144
248	0.2597674213
249	0.2595751033
250	0.2593891536
251	0.2591436365
252	0.2590003732
253	0.2589397366
254	0.2586997673
255	0.258466888
256	0.258247065
257	0.2580090821
258	0.2578112193
259	0.2575809854
260	0.2573391327
261	0.2571050067
262	0.2568280667
263	0.2566722944
264	0.256496687
265	0.2563355726
266	0.2562230402
267	0.2561081056
268	0.2559059067
269	0.2556513907
270	0.2553967941
271	0.2551394887
272	0.2549200992
273	0.2547020633
274	0.2543090135
275	0.2540568289
276	0.2538853467
277	0.2537227405
278	0.2535836891
279	0.2533358487
280	0.2531119488
281	0.252835526
282	0.252610601
283	0.2524096372
284	0.2522143103
285	0.2520734292
286	0.2519595449
287	0.2518244761
288	0.2515080796
289	0.2511852494
290	0.2510096389
291	0.2507919032
292	0.250602161
293	0.2504198748
294	0.2503072323
295	0.2500891606
296	0.2499072052
297	0.2496520906
298	0.2494239001
299	0.2492087905
